%                                                       MEASUREMENT OF THE Y(1S), Y(2S) AND Y(3S) POLARIZATIONS
%                                                                 IN PP COLLISIONS AT SQRT(S) = 7 TeV
%
%                                                                        SUPPLEMENTAL MATERIAL
%
%
%These tables list the results of the angular anisotropy parameters Lambda-Theta, Lambda-Phi, Lambda-Theta-Phi and the frame-invariant parameter Lambda-Tilde, for the Y(nS)
%states in the Collins-Soper (CS), helicity (HX), and perpendicular helicity (PX) frames, along with their total uncertainties (TU) (68.3%, 95.5%, and 99.7% CL) and statistical
%uncertainties (SU) only (68.3% CL) for different bins of Y transverse momentum pT and rapidity y.
%
%Column headings are:
%      pT-min: lower border of Y transverse momentum (GeV)
%      pT-max: upper border of Y transverse momentum (GeV)
%     |y|-min: lower border of Y rapidity
%     |y|-max: upper border of Y rapidity
%    Lambda-*: central value of the result
%-T.U.68.3%CL: negative total uncertainty, 68.3% CL
%+T.U.68.3%CL: positive total uncertainty, 68.3% CL
%-T.U.95.5%CL: negative total uncertainty, 95.5% CL
%+T.U.95.5%CL: positive total uncertainty, 95.5% CL
%-T.U.99.7%CL: negative total uncertainty, 99.7% CL
%+T.U.99.7%CL: positive total uncertainty, 99.7% CL
%-S.U.68.3%CL: negative statistical uncertainty, 68.3% CL
%+S.U.68.3%CL: positive statistical uncertainty, 68.3% CL
%
%
Table Lambda-Theta, CS frame, Y(1S):
pT-min   pT-max   |y|-min   |y|-max     Lambda-Theta     -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6          -0.097           -0.079          +0.072         -0.152         +0.146         -0.226         +0.219         -0.032         +0.033
  12       16       0.0       0.6          -0.013           -0.077          +0.072         -0.154         +0.145         -0.226         +0.221         -0.030         +0.031
  16       20       0.0       0.6          -0.063           -0.070          +0.066         -0.138         +0.133         -0.206         +0.201         -0.034         +0.035
  20       30       0.0       0.6          -0.022           -0.070          +0.064         -0.135         +0.132         -0.199         +0.197         -0.038         +0.038
  30       50       0.0       0.6          -0.134           -0.084          +0.079         -0.165         +0.165         -0.242         +0.255         -0.063         +0.063
  10       12       0.6       1.2           0.039           -0.087          +0.079         -0.170         +0.162         -0.244         +0.240         -0.037         +0.037
  12       16       0.6       1.2          -0.071           -0.068          +0.061         -0.133         +0.126         -0.198         +0.194         -0.028         +0.028
  16       20       0.6       1.2          -0.080           -0.068          +0.062         -0.134         +0.128         -0.197         +0.194         -0.035         +0.035
  20       30       0.6       1.2          -0.124           -0.065          +0.060         -0.130         +0.124         -0.190         +0.188         -0.034         +0.035
  30       50       0.6       1.2          -0.131           -0.083          +0.077         -0.161         +0.160         -0.235         +0.246         -0.060         +0.065

Table Lambda-Phi, CS frame, Y(1S):
pT-min   pT-max   |y|-min   |y|-max      Lambda-Phi      -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6           0.054           -0.086          +0.077         -0.170         +0.153         -0.250         +0.233         -0.053         +0.040
